symbol,company_name,cmp,pe,mcap_cr,div_yield_pct,np_qtr_cr,profit_growth_qtr_pct,sales_qtr_cr,sales_growth_qtr_pct,roce_pct,basic_industry
BAJAJ-AUTO,Bajaj Auto,11283.5,26.3,310052.36,1.33,3188.75,45.93,21688.83,65.14,28.24,2/3 Wheelers
EICHERMOT,Eicher Motors,7721.5,38.12,211858.88,1.06,1519.95,11.58,6080.09,16.01,30.52,2/3 Wheelers
TVSMOTOR,TVS Motor Co.,3919.8,53.83,186203.2,0.31,1057.61,67.11,16295.52,33.46,17.37,2/3 Wheelers
HEROMOTOCO,Hero Motocorp,5173.8,18.03,103555.23,3.58,1473.92,25.72,12978.28,30.18,35.22,2/3 Wheelers
ATHERENERG,Ather Energy,1233.2,,48593.95,0.0,-100.23,57.23,1174.66,73.75,-19.77,2/3 Wheelers
OLAELEC,Ola Electric,37.0,,17125.11,0.0,-500.0,42.53,265.0,-56.63,-19.56,2/3 Wheelers
TUNWAL,Tunwal E-Motors,26.7,12.1,154.04,0.37,4.23,-34.72,132.45,27.15,13.28,2/3 Wheelers
DELTIC,Delta Auto.,36.25,8.45,55.43,0.0,3.1,-47.28,37.54,-28.28,11.81,2/3 Wheelers
VICTORYEV,Victory Ele.,16.4,18.38,39.51,0.0,0.53,-86.91,15.27,-52.67,10.52,2/3 Wheelers
TIMKEN,Timken India,3083.1,58.24,23203.15,0.08,154.79,-17.15,1073.14,14.19,18.26,Abrasives & Bearings
GRINDWELL,Grindwell Norton,2004.0,57.27,22186.64,0.95,119.34,28.31,842.21,18.7,21.18,Abrasives & Bearings
CARBORUNIV,Carborundum Uni.,1056.1,78.25,20125.55,0.38,-40.01,-17.82,1398.35,14.89,10.52,Abrasives & Bearings
SKFINDUS,SKF India Indus.,2762.2,36.78,13662.5,0.36,118.97,-1.93,945.72,31.24,29.89,Abrasives & Bearings
SKFINDIA,SKF India,1470.8,24.6,7274.0,2.72,-20.23,-128.78,594.54,20.68,13.33,Abrasives & Bearings
WENDT,Wendt India,7426.0,121.88,1483.3,0.4,5.09,-60.51,66.78,-11.67,7.82,Abrasives & Bearings
SKP,SKP Bearing,161.0,303.7,267.26,0.69,-0.95,,37.99,,11.38,Abrasives & Bearings
NIBL,NRB Indl Bearing,35.44,,85.72,0.0,-6.82,2.29,20.58,27.75,-16.17,Abrasives & Bearings
SIGNPOST,Signpost India,301.3,22.84,1599.51,0.17,21.01,2183.7,161.92,46.08,25.13,Advertising & Media Agencies
RKSWAMY,R K Swamy,99.86,20.63,503.4,2.0,15.94,29.28,100.88,20.8,12.17,Advertising & Media Agencies
YAAP,Yaap Digital,153.0,17.35,320.28,0.0,19.0,84.08,135.66,28.14,30.86,Advertising & Media Agencies
VERTOZ,Vertoz,35.29,11.54,300.78,0.28,6.25,-2.33,73.69,13.06,14.16,Advertising & Media Agencies
CUDML,Cash UR Drive,142.5,8.55,251.46,0.0,18.52,94.54,108.79,43.71,40.31,Advertising & Media Agencies
SIMCA,Simca Advertis.,203.2,14.63,243.26,0.0,9.04,1164.71,78.51,107.37,97.5,Advertising & Media Agencies
PRAMARA,Pramara Promotio,127.65,17.73,177.99,0.0,3.91,5.96,59.27,6.49,14.95,Advertising & Media Agencies
DGCONTENT,Digicontent,24.37,38.55,144.17,0.0,0.9,-85.53,118.35,3.34,23.95,Advertising & Media Agencies
VALUE360,Value 360 Commu.,77.75,12.61,125.1,0.0,4.99,131.34,35.84,16.97,38.64,Advertising & Media Agencies
CRAYONS,Crayons Advertis,25.0,16.24,61.07,0.0,0.68,-94.03,171.88,26.88,5.55,Advertising & Media Agencies
GRAPHISAD,Graphisads,30.0,12.81,54.83,0.0,1.55,-62.56,80.65,6.06,5.49,Advertising & Media Agencies
CMRSL,Cyber Media Res.,62.0,4.91,18.15,3.23,1.04,109.52,25.39,38.37,21.77,Advertising & Media Agencies
VERITAAS,Veritaas Adver.,36.3,5.73,10.25,0.0,1.05,61.54,7.55,-8.48,17.03,Advertising & Media Agencies
GRADIENTE,Gradiente Info.,2.69,1.42,6.06,0.0,1.33,13200.0,17.29,2116.67,1.3,Advertising & Media Agencies
HAL,Hind.Aeronautics,4592.5,33.66,306856.56,0.98,4196.04,5.52,13942.4,1.77,31.96,Aerospace & Defense
BEL,Bharat Electron,405.35,48.87,296265.46,0.59,2226.35,4.62,10224.43,11.75,36.53,Aerospace & Defense
BDL,Bharat Dynamics,1239.8,108.1,45437.32,0.38,113.18,-58.51,480.2,-72.98,13.84,Aerospace & Defense
GRSE,Garden Reach Sh.,2574.4,39.44,29494.82,0.54,303.2,24.14,2119.21,29.06,42.96,Aerospace & Defense
DATAPATTNS,Data Pattern,4597.5,104.25,25765.29,0.22,138.38,21.3,344.85,-12.96,21.92,Aerospace & Defense
ASTRAMICRO,Astra Microwave,1783.1,87.73,16930.13,0.12,105.98,44.21,488.24,19.71,20.25,Aerospace & Defense
ZENTEC,Zen Technologies,1800.7,84.26,16247.84,0.06,47.24,-68.8,178.08,-45.2,16.18,Aerospace & Defense
AEQUS,Aequs,221.59,,14873.42,0.0,-53.72,-739.04,367.1,47.26,1.55,Aerospace & Defense
APOLLO,Apollo Micro Sys,395.5,130.26,14709.47,0.06,36.79,168.71,293.26,81.28,14.47,Aerospace & Defense
PARAS,Paras Defence,1197.5,112.29,9651.52,0.02,38.88,64.34,171.31,58.28,16.9,Aerospace & Defense
SIGMAADV,Sigma Advanced System,499.8,34.29,9510.79,0.0,128.45,1400.69,322.82,469.05,60.82,Aerospace & Defense
MIDHANI,Mishra Dhatu Nig,394.6,56.61,7403.48,0.22,77.75,38.49,552.75,34.63,11.3,Aerospace & Defense
AXISCADES,AXISCADES Tech.,1562.4,84.15,6647.62,0.0,0.42,-98.29,273.01,1.88,15.3,Aerospace & Defense
UNIMECH,Unimech Aero.,1215.3,98.07,6205.96,0.0,26.1,-10.62,81.8,19.64,11.85,Aerospace & Defense
CYIENTDLM,Cyient DLM,665.1,64.2,5271.86,0.0,16.29,118.36,373.8,34.25,9.9,Aerospace & Defense
CENTUM,Centum Electron,3570.7,52.24,5261.12,0.17,1.64,16.05,340.43,27.46,25.58,Aerospace & Defense
AVANTEL,Avantel,164.47,254.48,4369.35,0.12,5.39,66.87,70.42,35.66,9.63,Aerospace & Defense
IDEAFORGE,Ideaforge Tech,861.05,,4267.28,0.0,59.99,333.33,141.04,594.44,-2.81,Aerospace & Defense
ROSSTECH,Rossell Techsys,974.45,162.04,3673.52,0.02,7.52,9.78,142.07,61.57,11.5,Aerospace & Defense
SIKA,Sika Interplant,1133.2,68.39,2401.97,0.31,7.83,-1.01,41.33,-10.19,34.56,Aerospace & Defense
NIBE,NIBE,1504.8,413.03,2325.38,0.08,27.57,282.59,259.5,130.48,4.79,Aerospace & Defense
JAYKAY,Jaykay Enter.,163.42,31.78,2127.36,0.0,179.82,586.84,61.16,458.03,8.18,Aerospace & Defense
DCXINDIA,DCX Systems,179.81,,2002.07,0.0,-0.3,-101.45,207.27,-62.31,0.87,Aerospace & Defense
KRISHNADEF,Krishna Defence,1309.3,51.37,1957.11,0.1,12.3,64.44,64.85,42.18,31.07,Aerospace & Defense
APSISAERO,Apsis Aerocom,417.6,67.02,503.29,0.0,4.24,41.81,16.99,78.47,31.78,Aerospace & Defense
C2C,C2C Advanced,294.45,27.26,499.64,0.0,-5.33,-127.89,79.55,10.66,13.49,Aerospace & Defense
KAVDEFENCE,Kavveri Defence,56.95,277.97,344.68,0.0,0.28,-92.41,0.92,-88.78,1.14,Aerospace & Defense
TECHERA,Techera Enginee.,160.75,118.03,265.58,0.0,1.69,-86.14,24.2,-24.21,7.59,Aerospace & Defense
INDIGO,Interglobe Aviat,5023.5,,194103.51,0.2,-238.0,-110.92,24584.1,19.94,7.12,Airline
SPICEJET,SpiceJet,12.32,,1880.15,0.0,-269.27,-1104.04,1384.31,12.45,9.1,Airline
TAALTECH,TAAL Tech,3902.0,21.41,1208.38,1.67,17.16,41.35,57.04,27.63,32.73,Airline
FLYSBS,FlySBS Aviation,462.4,13.17,800.12,0.0,36.93,59.18,180.93,64.21,32.47,Airline
GLOBALVECT,Global Vectra,150.32,,207.85,0.0,-5.59,-156.61,127.51,-5.51,-2.11,Airline
GMRAIRPORT,GMR Airports,107.37,545.27,113402.7,0.0,400.49,203.18,3938.16,37.54,11.65,Airport & Airport services
DREAMFOLKS,Dreamfolks Servi,66.79,30.71,355.05,0.0,-13.01,-187.62,52.64,-83.24,5.71,Airport & Airport services
HINDALCO,Hindalco Inds.,955.65,12.73,214744.9,0.52,2597.0,-22.12,78133.0,20.41,13.21,Aluminium
VAML,Vedanta Aluminium Metal,436.85,,170785.69,0.0,,,,,,Aluminium
NATIONALUM,Natl. Aluminium,346.0,10.96,63538.18,3.03,1722.44,-16.68,5012.82,-4.84,39.59,Aluminium
ARFIN,Arfin India,90.34,112.23,1526.3,0.12,5.71,957.41,191.7,24.99,13.97,Aluminium
MMP,MMP Industries,286.3,18.87,727.28,0.7,17.99,14.36,249.68,11.9,12.49,Aluminium
MAANALU,Maan Aluminium,113.99,52.58,685.14,0.0,1.7,-56.85,254.57,3.54,7.73,Aluminium
JAINIK,Jainik Power,178.1,18.23,255.54,0.0,7.85,64.57,208.91,9.73,29.88,Aluminium
MANAKALUCO,Manaksia Alumi.,35.73,31.11,235.19,0.2,3.24,62.0,155.66,13.56,10.15,Aluminium
PRECWIRE,Prec. Wires (I),367.8,43.79,6731.82,0.34,54.87,85.5,1762.85,67.19,32.94,"Aluminium, Copper & Zinc Products"
CMRGREEN,CMR Green Tech.,217.35,22.42,4761.17,0.0,65.98,141.95,2364.67,45.38,13.98,"Aluminium, Copper & Zinc Products"
VIDYAWIRES,Vidya Wires,88.05,32.46,1871.51,0.0,19.61,54.53,598.78,57.73,20.69,"Aluminium, Copper & Zinc Products"
BAHETI,Baheti Recycling,704.7,27.0,730.67,0.0,17.79,61.87,409.72,53.38,21.66,"Aluminium, Copper & Zinc Products"
SUNLITE,Sunlite Recycli.,417.55,14.36,576.46,0.0,25.8,257.84,1642.41,116.13,46.52,"Aluminium, Copper & Zinc Products"
AMCL,ANB Metal,422.0,23.27,499.43,0.0,12.97,199.54,137.39,115.08,29.63,"Aluminium, Copper & Zinc Products"
SHERA,Shera Energy,175.85,12.56,429.77,0.0,12.64,88.26,487.67,26.1,19.54,"Aluminium, Copper & Zinc Products"
EUROBOND,Euro Panel,160.77,14.79,402.41,0.0,8.81,41.19,141.04,19.92,16.95,"Aluminium, Copper & Zinc Products"
RAJINDLTD,Rajputana Indu.,74.95,12.67,166.5,0.0,3.69,32.26,204.08,22.12,19.73,"Aluminium, Copper & Zinc Products"
CENTEXT,Century Extrus.,18.96,13.13,151.28,0.0,2.95,27.34,142.22,18.72,19.21,"Aluminium, Copper & Zinc Products"
MCL,M Tek Copper,52.68,31.85,142.99,0.0,2.91,69.19,84.06,102.07,12.62,"Aluminium, Copper & Zinc Products"
ALUWIND,Aluwind Infra,48.05,11.35,119.39,0.0,5.45,-7.0,73.12,14.66,17.63,"Aluminium, Copper & Zinc Products"
CUBEXTUB,Cubex Tubings,77.61,14.92,111.13,0.0,1.37,-40.43,89.4,6.14,11.49,"Aluminium, Copper & Zinc Products"
RAJMET,Rajnandini Metal,3.41,,94.28,0.0,1.13,197.37,56.45,-72.93,3.85,"Aluminium, Copper & Zinc Products"
SAGARDEEP,Sagardeep Alloys,25.06,17.38,42.74,0.0,1.62,406.25,70.45,117.17,10.59,"Aluminium, Copper & Zinc Products"
WONDERLA,Wonderla Holiday,464.6,34.66,2948.52,0.43,16.42,24.52,135.85,40.37,6.42,Amusement Parks/ Other Recreation
IMAGICAA,Imagica. Enter.,46.82,4212.45,2653.85,0.0,0.4,-97.76,91.86,-2.69,1.86,Amusement Parks/ Other Recreation
DELTACORP,Delta Corp,62.53,18.72,1673.57,2.0,16.45,-28.81,161.25,-11.72,5.02,Amusement Parks/ Other Recreation
AVANTIFEED,Avanti Feeds,959.2,21.28,13063.42,0.94,138.86,-12.84,1467.72,6.19,25.93,Animal Feed
GODREJAGRO,Godrej Agrovet,561.2,23.42,10793.34,1.96,102.28,48.14,2332.65,9.33,19.16,Animal Feed
MUKKA,Mukka Proteins,22.74,13.09,681.61,0.0,21.36,51.73,380.61,-0.25,11.61,Animal Feed
NARMADA,Narmada Agrobase,35.21,34.56,133.38,0.0,0.8,2.56,34.0,16.04,8.95,Animal Feed
AJOONI,Ajooni Biotech,3.95,15.75,68.04,0.0,0.95,-38.31,60.62,107.11,6.49,Animal Feed
ICICIAMC,ICICI AMC,3132.0,44.41,154809.22,0.87,964.63,23.1,1564.22,17.55,115.1,Asset Management Company
SBIFUNDS,SBI Funds Mgt.,577.4,38.33,117566.21,0.0,,,,,56.5,Asset Management Company
HDFCAMC,HDFC AMC,2508.7,36.48,107609.89,2.15,838.36,12.09,1098.5,13.51,42.88,Asset Management Company
NAM-INDIA,Nippon Life Ind.,1105.8,43.24,70788.93,1.94,503.7,27.16,766.87,26.42,43.8,Asset Management Company
ABSLAMC,Aditya AMC,986.0,28.26,28532.78,2.59,309.49,11.68,462.96,3.48,32.23,Asset Management Company
UTIAMC,UTI AMC,904.05,21.75,11614.86,4.42,293.86,24.07,583.51,6.7,15.57,Asset Management Company
CRAMC,Canara Robeco,266.02,24.3,5307.09,1.5,75.6,23.98,145.37,20.07,40.11,Asset Management Company
IVC,IL&FS Inv.Manag.,8.26,67.12,259.08,6.05,3.96,-81.92,35.21,364.51,4.07,Asset Management Company
MOTHERSON,Samvardh. Mothe.,145.57,36.03,153641.03,0.41,1561.56,55.33,34309.31,17.03,13.43,Auto Components & Equipments
BOSCHLTD,Bosch,42240.0,59.72,124660.51,0.64,570.0,2.98,5565.7,13.34,21.54,Auto Components & Equipments
BHARATFORG,Bharat Forge,2175.3,92.2,104067.66,0.39,233.45,2.05,4528.04,17.53,12.61,Auto Components & Equipments
UNOMINDA,Uno Minda,1129.9,53.81,65302.88,0.23,351.76,22.39,5336.41,17.85,19.65,Auto Components & Equipments
SCHAEFFLER,Schaeffler India,4093.2,49.58,64013.28,0.86,336.73,13.67,2681.41,17.5,27.9,Auto Components & Equipments
TIINDIA,Tube Investments,2824.5,82.76,54695.97,0.12,234.01,81.73,6214.74,20.68,17.14,Auto Components & Equipments
SONACOMS,Sona BLW Precis.,719.75,57.67,44840.23,0.47,220.11,73.37,1157.24,50.82,15.11,Auto Components & Equipments
ENDURANCE,Endurance Tech.,2720.3,39.55,38258.23,0.42,276.45,17.32,4085.95,37.88,18.28,Auto Components & Equipments
EXIDEIND,Exide Inds.,439.75,44.99,37366.23,0.45,216.73,15.19,4735.13,9.22,8.54,Auto Components & Equipments
ZFCVINDIA,ZF Commercial,2365.8,54.5,26942.89,0.17,141.35,12.91,1132.8,12.92,19.08,Auto Components & Equipments
MSUMI,Motherson Wiring,39.93,42.4,26480.23,1.45,167.3,1.44,3334.62,32.88,38.86,Auto Components & Equipments
CRAFTSMAN,Craftsman Auto,9311.5,63.7,24350.59,0.12,116.42,56.46,2226.4,27.28,13.91,Auto Components & Equipments
ASAHIINDIA,Asahi India Glas,872.45,62.88,22229.84,0.23,132.61,43.17,1354.06,14.77,11.76,Auto Components & Equipments
BELRISE,Belrise Industri,229.31,45.99,22177.76,0.24,136.27,22.69,2106.96,17.11,13.85,Auto Components & Equipments
TENNIND,Tenneco Clean,543.4,35.17,21927.93,0.0,166.79,18.87,1552.45,17.09,60.76,Auto Components & Equipments
SANSERA,Sansera Enginee.,3188.7,64.2,19898.93,0.1,103.97,74.3,885.85,27.54,13.65,Auto Components & Equipments
SUNDRMFAST,Sundram Fasten.,946.45,32.94,19878.2,0.85,161.36,29.71,1693.3,10.63,17.6,Auto Components & Equipments
GABRIEL,Gabriel India,1377.7,54.94,19793.3,0.34,108.13,1.99,1425.68,15.5,40.45,Auto Components & Equipments
SHRIPISTON,SPR Auto Technologies,4277.9,33.19,18764.86,0.23,159.1,7.65,1455.8,47.29,20.78,Auto Components & Equipments
ARE&M,Amara Raja Ener.,876.4,24.99,16035.01,1.21,322.33,12.37,3459.92,16.34,13.43,Auto Components & Equipments
CIEINDIA,CIE Automotive,419.0,17.74,15903.7,1.67,235.62,15.49,2620.55,10.62,14.74,Auto Components & Equipments
MINDACORP,Minda Corp,657.75,43.47,15705.56,0.21,124.0,135.63,1703.81,28.95,12.76,Auto Components & Equipments
JBMA,JBM Auto,659.1,69.38,15580.39,0.13,83.82,11.95,1852.27,12.55,14.78,Auto Components & Equipments
SEDEMAC,Sedemac Mechatro,2749.9,117.4,12159.86,0.0,32.08,272.59,287.71,59.91,35.69,Auto Components & Equipments
RKFORGE,Ramkrishna Forg.,584.0,131.35,10634.11,0.34,55.94,-71.88,1216.78,28.46,5.6,Auto Components & Equipments
LUMAXTECH,Lumax Auto Tech.,1474.5,34.97,10057.36,0.37,97.54,50.4,1416.93,25.07,21.45,Auto Components & Equipments
ASKAUTOLTD,ASK Automotive,502.95,33.5,9909.16,0.37,71.54,24.18,1147.12,35.01,25.42,Auto Components & Equipments
VARROC,Varroc Engineer,640.75,38.51,9773.98,0.23,70.46,40.48,2368.08,12.81,19.03,Auto Components & Equipments
BANCOINDIA,Banco Products,608.05,18.66,8692.59,2.47,147.43,-5.69,1098.74,25.62,30.91,Auto Components & Equipments
PRICOLLTD,Pricol Ltd,626.1,30.79,7636.05,0.32,73.23,109.53,1099.21,42.87,24.5,Auto Components & Equipments
SJS,SJS Enterprises,2275.2,42.89,7282.78,0.15,48.87,45.14,260.12,29.73,28.58,Auto Components & Equipments
SUPRAJIT,Suprajit Engg.,487.5,35.7,6688.87,0.62,71.11,161.05,1041.93,18.82,15.98,Auto Components & Equipments
FIEMIND,Fiem Industries,2354.1,24.34,6197.9,1.7,71.03,26.86,751.25,17.49,29.34,Auto Components & Equipments
JAMNAAUTO,Jamna Auto Inds.,130.8,21.86,5232.99,1.61,87.27,73.43,839.6,31.66,27.47,Auto Components & Equipments
LGBBROSLTD,L G Balakrishnan,1540.8,15.54,4923.05,1.43,69.67,-6.89,815.0,21.79,19.82,Auto Components & Equipments
SHARDAMOTR,Sharda Motor,829.95,14.37,4767.11,1.96,89.42,6.35,971.76,29.59,35.96,Auto Components & Equipments
LUMAXIND,Lumax Industries,5093.5,25.56,4762.75,1.08,54.1,26.43,1200.32,29.99,17.7,Auto Components & Equipments
SSWL,Steel Str. Wheel,286.73,20.16,4508.29,0.44,71.51,43.19,1509.82,27.22,15.98,Auto Components & Equipments
NRBBEARING,NRB Bearings,393.0,26.01,3810.99,2.02,42.09,-4.74,371.98,12.96,18.41,Auto Components & Equipments
ROLEXRINGS,Rolex Rings,137.05,20.77,3725.58,0.0,-0.15,-27.67,305.69,7.68,21.16,Auto Components & Equipments
JTEKTINDIA,JTEKT India,131.34,44.83,3643.06,0.53,27.49,18.62,780.33,20.2,9.84,Auto Components & Equipments
WHEELS,Wheels India,1445.2,22.8,3533.55,1.0,58.81,51.91,1564.02,22.46,18.83,Auto Components & Equipments
SANDHAR,Sandhar Tech,585.7,17.57,3527.73,0.6,63.82,56.31,1306.99,28.88,14.41,Auto Components & Equipments
RML,Rane (Madras),1124.8,28.5,3108.76,1.42,36.96,522.22,1047.87,16.26,13.95,Auto Components & Equipments
CARRARO,Carraro India,537.05,22.71,3056.3,0.85,41.02,77.5,602.93,36.84,28.67,Auto Components & Equipments
UNIPARTS,Uniparts India,673.0,18.86,3034.99,2.27,51.15,124.05,338.93,34.07,21.6,Auto Components & Equipments
SUNCLAY,Sundaram Clayton,1364.0,,2995.59,0.35,426.41,-44.36,518.11,-11.72,-3.34,Auto Components & Equipments
DIVGIITTS,Divgi Torq,931.65,60.61,2844.31,0.28,15.48,189.35,107.62,84.85,10.21,Auto Components & Equipments
AUTOAXLES,Automotive Axles,1814.0,16.28,2748.43,1.76,53.89,17.33,664.3,18.7,21.55,Auto Components & Equipments
INDNIPPON,India Nipp.Elec.,1207.4,29.95,2731.31,1.28,39.83,4.11,299.46,28.11,16.96,Auto Components & Equipments
FMGOETZE,Federal-Mogul Go,479.05,14.59,2662.46,0.0,50.8,-14.39,488.58,6.5,18.52,Auto Components & Equipments
MMFL,M M Forgings,547.95,23.39,2647.99,0.73,48.1,32.8,413.34,16.51,9.47,Auto Components & Equipments
RAJRATAN,Rajratan Global,501.55,36.62,2548.73,0.4,15.43,1.51,314.29,25.01,13.23,Auto Components & Equipments
TALBROAUTO,Talbros Auto.,395.2,23.39,2435.02,0.18,31.62,18.96,236.55,14.91,18.56,Auto Components & Equipments
GNA,GNA Axles,500.75,16.2,2142.72,0.6,38.27,66.46,470.44,36.67,14.33,Auto Components & Equipments
NDRAUTO,NDR Auto Compon.,819.1,31.19,1950.3,0.49,18.45,12.57,229.07,19.28,22.18,Auto Components & Equipments
RICOAUTO,Rico Auto Inds,135.43,32.36,1830.18,0.37,6.87,-20.96,677.49,24.25,9.01,Auto Components & Equipments
STUDDS,Studds Accessor.,442.6,21.07,1741.39,0.0,21.1,6.08,167.54,11.88,22.74,Auto Components & Equipments
JAYBARMARU,Jay Bharat Maru.,159.67,12.52,1726.58,0.44,78.86,302.35,766.01,25.44,16.44,Auto Components & Equipments
FRONTSP,Frontier Springs,1350.1,26.03,1595.67,0.04,16.59,42.28,82.54,17.78,50.92,Auto Components & Equipments
RACLGEAR,RACL Geartech,1325.5,33.48,1564.31,0.11,11.59,76.16,129.76,28.36,16.62,Auto Components & Equipments
OBSCP,OBSC Perfection,568.85,54.43,1470.23,0.0,8.66,70.14,71.52,77.38,19.52,Auto Components & Equipments
IGARASHI,Igarashi Motors,443.3,115.2,1399.67,0.29,1.59,-48.04,225.97,19.26,4.58,Auto Components & Equipments
BHARATSE,Bharat Seats,215.44,31.14,1349.39,0.7,13.25,16.33,574.28,46.16,20.19,Auto Components & Equipments
KROSS,Kross Ltd,205.2,24.0,1324.99,0.0,22.45,30.9,225.45,21.89,16.43,Auto Components & Equipments
PRECAM,Precision Camshf,138.28,53.18,1310.95,0.72,10.06,-39.97,201.01,5.56,7.28,Auto Components & Equipments
MENONBE,Menon Bearings,216.51,27.45,1205.95,0.92,14.11,67.38,91.79,36.57,25.5,Auto Components & Equipments
HITECHGEAR,The Hi-Tech Gear,591.35,52.78,1107.23,0.85,8.11,-16.56,228.62,6.39,6.92,Auto Components & Equipments
ALICON,Alicon Cast.,637.1,26.68,1046.57,0.86,7.94,-15.8,494.93,16.58,10.04,Auto Components & Equipments
MUNJALAU,Munjal Auto Inds,100.96,28.47,1006.83,0.99,-1.26,-103.56,614.24,20.0,11.12,Auto Components & Equipments
PRADPME,Pradeep Metals,513.7,29.31,898.07,0.49,10.32,45.56,90.96,4.52,21.18,Auto Components & Equipments
STERTOOLS,Sterling Tools,243.64,36.45,875.96,1.03,1.59,-118.05,221.97,11.12,7.23,Auto Components & Equipments
ASAL,Automotive Stamp,546.55,30.28,866.59,0.0,13.28,168.83,255.55,35.88,25.31,Auto Components & Equipments
VELJAN,Veljan Denison,1780.0,31.77,792.93,0.48,6.57,13.47,40.83,8.76,14.88,Auto Components & Equipments
HINDCOMPOS,Hind.Composites,448.35,37.9,662.55,0.45,8.68,25.32,20.05,37.14,0.48,Auto Components & Equipments
ZFSTEERING,Z F Steering,665.95,38.63,601.52,0.0,-0.89,-100.78,174.34,27.24,6.48,Auto Components & Equipments
MUNJALSHOW,Munjal Showa,136.07,23.16,544.21,3.31,-0.05,-100.56,347.07,14.59,4.72,Auto Components & Equipments
OMAXAUTO,Omax Autos,223.36,12.35,475.75,1.12,17.34,2942.11,174.41,52.72,17.15,Auto Components & Equipments
PPAP,PPAP Automotive,296.25,220.43,416.6,0.84,45.45,31.4,174.58,18.58,3.53,Auto Components & Equipments
MENNPIS,Menon Pistons,75.62,14.9,384.44,1.32,4.44,4.94,73.22,31.31,21.51,Auto Components & Equipments
MAXVOLT,Maxvolt Energy,351.5,15.72,383.28,0.0,11.46,114.61,166.72,148.13,27.12,Auto Components & Equipments
AUTOIND,Autoline Industr,83.69,19.2,378.07,0.0,30.41,119.97,289.31,48.37,13.06,Auto Components & Equipments
SUNDRMBRAK,Sundaram Brake,799.9,127.24,325.75,0.08,7.47,465.91,90.43,-6.73,4.85,Auto Components & Equipments
PRITIKAUTO,Pritika Auto,17.8,14.17,298.41,0.0,4.77,39.17,138.46,36.2,11.87,Auto Components & Equipments
TCL,Thaai,114.5,21.86,278.71,0.0,6.7,15.85,83.33,21.21,13.08,Auto Components & Equipments
REMSONSIND,Remsons Ind,78.82,14.82,275.33,0.38,4.45,11.16,130.4,22.81,15.47,Auto Components & Equipments
UCAL,Ucal,116.28,,257.42,0.0,-13.15,100.58,233.47,17.38,3.32,Auto Components & Equipments
BIMETAL,Bimetal Bearings,649.2,21.56,248.75,2.08,3.8,43.94,94.28,47.06,6.85,Auto Components & Equipments
SETCO,Setco Automotive,18.0,,235.58,72.22,-57.19,-76.62,196.55,9.26,21.06,Auto Components & Equipments
SINTERCOM,Sintercom India,80.89,155.71,222.67,0.0,0.53,960.0,27.52,14.14,5.29,Auto Components & Equipments
PAVNAIND,Pavna Industries,15.92,36.11,220.26,0.0,2.31,43.53,54.45,-17.79,5.93,Auto Components & Equipments
SHIVAMAUTO,Shivam Autotech,16.73,,208.19,0.0,-26.72,-71.75,109.43,1.47,-0.47,Auto Components & Equipments
GOLDSTAR,Goldstar Power,7.05,6.86,201.77,0.0,17.59,,431.93,,,Auto Components & Equipments
BHARATGEAR,Bharat Gears,119.0,11.45,187.15,0.0,5.07,196.49,210.29,20.26,18.1,Auto Components & Equipments
AVATAR,AVATAR Industries,172.3,485.11,179.49,0.0,0.12,500.0,102.87,,1.36,Auto Components & Equipments
PRITIKA,Pritika Engineer,57.8,23.27,152.39,0.0,1.4,-8.5,45.92,60.84,11.53,Auto Components & Equipments
URAVIDEF,Uravi Defence &,112.13,235.6,128.24,0.0,1.5,-59.85,9.86,8.23,3.69,Auto Components & Equipments
SHIGAN,Shigan Quantum,63.0,18.67,128.06,0.32,4.28,1.18,120.06,14.33,11.18,Auto Components & Equipments
FORGEAUTO,Forge Auto,84.3,7.47,92.06,0.0,6.32,,136.33,,,Auto Components & Equipments
SELLOWRAP,Sellowrap Indus.,64.25,8.64,88.31,0.0,1.77,-35.14,67.81,41.3,14.04,Auto Components & Equipments
PREMIUM,Premium Plast,40.0,11.12,76.39,0.0,2.94,-23.64,36.88,9.24,17.01,Auto Components & Equipments
UWCSL,Ultra Wiring,95.95,15.04,49.93,0.52,-0.87,0.0,25.88,13.56,18.25,Auto Components & Equipments
MANDEEP,Mandeep Auto,19.15,19.04,21.9,0.0,0.82,-70.4,20.09,23.33,4.35,Auto Components & Equipments
PRECISION,Precision Metal.,7.6,,17.45,0.0,-3.34,-802.7,0.0,-100.0,-5.68,Auto Components & Equipments
LAKPRE,Lak. Prec. Screw,5.07,,5.67,0.0,-12.66,30.21,51.35,-16.37,0.28,Auto Components & Equipments
LANDMARK,Landmark Cars,505.85,53.75,2098.72,0.1,15.03,1089.82,1278.52,17.16,9.26,Auto Dealer
PVSL,Popular Vehicles,105.33,,750.43,0.0,-4.96,63.34,1754.45,27.84,4.23,Auto Dealer
AMBAAUTO,Amba Auto Sales,81.1,10.59,148.61,0.0,7.95,,127.73,,32.46,Auto Dealer
BIKEWO,Bikewo Green,62.35,18.07,81.33,0.0,3.27,3170.0,37.46,159.42,10.97,Auto Dealer
ANTHEM,Anthem Bioscienc,777.85,73.89,43839.09,0.26,119.94,-11.67,418.22,-22.58,30.37,Biotechnology
ADVENZYMES,Advanced Enzyme,314.25,22.71,3519.97,1.7,45.25,61.91,203.37,21.65,13.96,Biotechnology
